data,time
1000,0.000824
1500,0.002391
2000,0.003393
2500,0.005415
3000,0.008229
3500,0.011394
4000,0.013711
4500,0.017876
5000,0.02122
5500,0.02633
6000,0.030933
6500,0.035881
7000,0.041874
7500,0.04776
8000,0.054967
8500,0.061302
9000,0.068678
9500,0.080485
10000,0.083994
10500,0.094497
11000,0.101316
11500,0.112376
12000,0.122761
12500,0.131576
13000,0.17241
13500,0.194589
14000,0.1892
14500,0.196916
15000,0.201002
15500,0.209732
16000,0.225006
16500,0.235953
17000,0.246268
17500,0.265987
18000,0.279243
18500,0.291945
19000,0.308088
19500,0.321343
20000,0.341788
20500,0.357677
