data,time
1000,0.000548
1500,0.001612
2000,0.002104
2500,0.003269
3000,0.00488
3500,0.00696
4000,0.007891
4500,0.009903
5000,0.012254
5500,0.014568
6000,0.017222
6500,0.020671
7000,0.024499
7500,0.028781
8000,0.032575
8500,0.038438
9000,0.041282
9500,0.044978
10000,0.05323
10500,0.059945
11000,0.065117
11500,0.077745
12000,0.080671
12500,0.086726
13000,0.083578
13500,0.089635
14000,0.110221
14500,0.117921
15000,0.123847
15500,0.142285
16000,0.152938
16500,0.168944
17000,0.174512
17500,0.181179
18000,0.190666
18500,0.190997
19000,0.191137
19500,0.197828
20000,0.203471
20500,0.223145
