data,time
1000,0.00015
1500,0.000149
2000,0.000224
2500,0.000294
3000,0.00033
3500,0.00046
4000,0.000492
4500,0.000553
5000,0.000649
5500,0.000651
6000,0.000805
6500,0.000961
7000,0.001233
7500,0.001107
8000,0.001214
8500,0.001299
9000,0.0013
9500,0.00148
10000,0.001452
10500,0.001616
11000,0.001489
11500,0.001841
12000,0.001739
12500,0.001927
13000,0.001992
13500,0.002232
14000,0.002258
14500,0.002236
15000,0.002128
15500,0.003118
16000,0.00236
16500,0.002322
17000,0.002881
17500,0.002625
18000,0.002711
18500,0.00269
19000,0.002802
19500,0.002961
20000,0.003254
20500,0.003135
