data,time
1000,0.000864
1500,0.001983
2000,0.003949
2500,0.006005
3000,0.008214
3500,0.011261
4000,0.015032
4500,0.019034
5000,0.023021
5500,0.027891
6000,0.036346
6500,0.039125
7000,0.04537
7500,0.052013
8000,0.058497
8500,0.066394
9000,0.075328
9500,0.083878
10000,0.092593
10500,0.102425
11000,0.115875
11500,0.153061
12000,0.187501
12500,0.178408
13000,0.208024
13500,0.200245
14000,0.20434
14500,0.214482
15000,0.258248
15500,0.249363
16000,0.303507
16500,0.278894
17000,0.29348
17500,0.327268
18000,0.341168
18500,0.34314
19000,0.359423
19500,0.372438
20000,0.388607
20500,0.408122
