data,time
1000,0.000895
1500,0.002294
2000,0.003613
2500,0.00553
3000,0.008194
3500,0.011086
4000,0.013844
4500,0.017228
5000,0.021644
5500,0.025995
6000,0.030879
6500,0.03659
7000,0.042318
7500,0.049522
8000,0.05562
8500,0.061739
9000,0.068937
9500,0.081136
10000,0.086708
10500,0.095819
11000,0.104562
11500,0.115936
12000,0.125641
12500,0.136747
13000,0.147729
13500,0.160749
14000,0.172221
14500,0.181611
15000,0.195222
15500,0.210546
16000,0.220755
16500,0.237205
17000,0.251643
17500,0.267435
18000,0.280983
18500,0.296316
19000,0.311477
19500,0.326986
20000,0.343216
20500,0.360104
