data,time
1000,0.001011
1500,0.002149
2000,0.003927
2500,0.005857
3000,0.008882
3500,0.011695
4000,0.015083
4500,0.019098
5000,0.023301
5500,0.028437
6000,0.033674
6500,0.040928
7000,0.046195
7500,0.053123
8000,0.061158
8500,0.068473
9000,0.07647
9500,0.084193
10000,0.093953
10500,0.104861
11000,0.118807
11500,0.125555
12000,0.137056
12500,0.149902
13000,0.161217
13500,0.174731
14000,0.185553
14500,0.199168
15000,0.214676
15500,0.228132
16000,0.24448
16500,0.257441
17000,0.275291
17500,0.28964
18000,0.309841
18500,0.325287
19000,0.344559
19500,0.363144
20000,0.378622
20500,0.400176
