data,time
1000,0.00095
1500,0.002044
2000,0.003818
2500,0.005752
3000,0.008649
3500,0.010657
4000,0.01391
4500,0.017433
5000,0.021968
5500,0.026182
6000,0.031027
6500,0.036733
7000,0.042408
7500,0.04951
8000,0.055987
8500,0.062934
9000,0.071646
9500,0.07996
10000,0.087762
10500,0.097167
11000,0.106463
11500,0.118119
12000,0.129569
12500,0.140236
13000,0.149425
13500,0.160666
14000,0.174803
14500,0.185702
15000,0.198847
15500,0.214123
16000,0.229194
16500,0.241019
17000,0.253325
17500,0.269578
18000,0.287197
18500,0.306306
19000,0.321077
19500,0.335255
20000,0.355861
20500,0.372634
