data,time
1000,9.5e-05
1500,0.000143
2000,0.000201
2500,0.000259
3000,0.000346
3500,0.000454
4000,0.000462
4500,0.000489
5000,0.000692
5500,0.000634
6000,0.000703
6500,0.000814
7000,0.000897
7500,0.000946
8000,0.00116
8500,0.001152
9000,0.001107
9500,0.001307
10000,0.001347
10500,0.00129
11000,0.001727
11500,0.001476
12000,0.001657
12500,0.001872
13000,0.001977
13500,0.001998
14000,0.002062
14500,0.002151
15000,0.002146
15500,0.002162
16000,0.00224
16500,0.002592
17000,0.002493
17500,0.002461
18000,0.002636
18500,0.002661
19000,0.002724
19500,0.002816
20000,0.003034
20500,0.003044
