data,time
1000,0.000143
1500,0.000173
2000,0.000251
2500,0.000504
3000,0.000602
3500,0.000691
4000,0.000831
4500,0.000698
5000,0.000983
5500,0.00078
6000,0.000972
6500,0.00096
7000,0.001095
7500,0.001537
8000,0.00164
8500,0.001698
9000,0.002009
9500,0.001821
10000,0.002099
10500,0.002344
11000,0.002762
11500,0.002502
12000,0.002093
12500,0.00242
13000,0.002402
13500,0.0024
14000,0.002275
14500,0.003307
15000,0.003182
15500,0.002659
16000,0.002853
16500,0.00314
17000,0.003161
17500,0.003866
18000,0.003266
18500,0.00332
19000,0.00426
19500,0.003606
20000,0.004228
20500,0.004063
