data,time
1000,0.000611
1500,0.001393
2000,0.002819
2500,0.003914
3000,0.005407
3500,0.007709
4000,0.009087
4500,0.012793
5000,0.01535
5500,0.021384
6000,0.018755
6500,0.023764
7000,0.022885
7500,0.024325
8000,0.02772
8500,0.031306
9000,0.037866
9500,0.038969
10000,0.046667
10500,0.054913
11000,0.054423
11500,0.06225
12000,0.077735
12500,0.083045
13000,0.086511
13500,0.08413
14000,0.093158
14500,0.096087
15000,0.114982
15500,0.146021
16000,0.127003
16500,0.122418
17000,0.139762
17500,0.145751
18000,0.166263
18500,0.162292
19000,0.191625
19500,0.171547
20000,0.203449
20500,0.208303
