data,time
1000,0.000147
1500,0.000376
2000,0.000378
2500,0.000448
3000,0.000575
3500,0.000706
4000,0.000827
4500,0.001787
5000,0.001095
5500,0.001274
6000,0.001177
6500,0.001363
7000,0.001739
7500,0.001671
8000,0.00178
8500,0.001942
9000,0.002189
9500,0.004005
10000,0.002271
10500,0.002611
11000,0.002605
11500,0.004021
12000,0.002935
12500,0.003188
13000,0.003431
13500,0.0041
14000,0.004231
14500,0.003676
15000,0.00402
15500,0.004965
16000,0.004336
16500,0.004336
17000,0.003939
17500,0.00457
18000,0.004878
18500,0.00448
19000,0.007499
19500,0.004909
20000,0.004945
20500,0.00513
