data,time
1000,0.001173
1500,0.002579
2000,0.004377
2500,0.008266
3000,0.00896
3500,0.011581
4000,0.016152
4500,0.021966
5000,0.025122
5500,0.032345
6000,0.034875
6500,0.046328
7000,0.048288
7500,0.055945
8000,0.069148
8500,0.078349
9000,0.081396
9500,0.094379
10000,0.101106
10500,0.124265
11000,0.124257
11500,0.13604
12000,0.147261
12500,0.185918
13000,0.226785
13500,0.233523
14000,0.201651
14500,0.225611
15000,0.22188
15500,0.242658
16000,0.260626
16500,0.296918
17000,0.314877
17500,0.344531
18000,0.306418
18500,0.282817
19000,0.290519
19500,0.294591
20000,0.341879
20500,0.325968
