data,time
1000,0.000105
1500,0.000198
2000,0.000283
2500,0.000348
3000,0.000363
3500,0.000469
4000,0.000549
4500,0.000637
5000,0.00117
5500,0.000716
6000,0.000881
6500,0.000865
7000,0.001104
7500,0.001053
8000,0.001445
8500,0.001282
9000,0.001299
9500,0.001388
10000,0.001559
10500,0.001591
11000,0.001803
11500,0.00192
12000,0.001724
12500,0.001945
13000,0.001937
13500,0.002021
14000,0.002453
14500,0.002381
15000,0.002573
15500,0.002348
16000,0.002639
16500,0.003852
17000,0.00303
17500,0.002949
18000,0.002785
18500,0.002965
19000,0.004097
19500,0.00303
20000,0.003252
20500,0.003355
