data,time
1000,1e-06
2000,1e-06
3000,2e-06
4000,2e-06
5000,3e-06
6000,3e-06
7000,3e-06
8000,3e-06
9000,5e-06
10000,4e-06
11000,4e-06
12000,5e-06
13000,6e-06
14000,5e-06
15000,9e-06
