data,time
1000,0.000171
1500,0.000284
2000,0.000422
2500,0.000504
3000,0.000553
3500,0.000673
4000,0.00144
4500,0.00105
5000,0.001061
5500,0.001348
6000,0.001379
6500,0.002085
7000,0.001498
7500,0.001904
8000,0.001845
8500,0.002092
9000,0.00212
9500,0.002157
10000,0.00223
10500,0.002469
11000,0.002696
11500,0.002592
12000,0.002963
12500,0.003066
13000,0.003431
13500,0.003171
14000,0.003677
14500,0.003674
15000,0.003828
15500,0.003538
16000,0.004294
16500,0.004034
17000,0.004639
17500,0.004356
18000,0.004651
18500,0.004404
19000,0.004748
19500,0.005861
20000,0.004871
20500,0.005119
